Year,Country,Region,Police force,Offence class (no.),Offence,Offence grouping,Number of endorsable FPNs,Number of non-endorsable FPNs,Total FPNs
2007,England,Yorkshire & The Humber,Humberside,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,522,1073,1595
2007,England,Yorkshire & The Humber,Humberside,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,196,56,252
2007,England,Yorkshire & The Humber,Humberside,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",5,12592,12597
2007,England,Yorkshire & The Humber,Humberside,21,Lighting offences,Lighting and noise offences,,553,553
2007,England,Yorkshire & The Humber,Humberside,22,Noise offences,Lighting and noise offences,,31,31
2007,England,Yorkshire & The Humber,Humberside,23,Load offences,Other offences,106,15,121
2007,England,Yorkshire & The Humber,Humberside,24,Offences peculiar to motor cycles,Other offences,0,37,37
2007,England,Yorkshire & The Humber,Humberside,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,0,0
2007,England,Yorkshire & The Humber,Humberside,25b,Seat belt offences,Miscellaneous motoring offences,,3597,3597
2007,England,South East,Kent,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,46,61,107
2007,England,South East,Kent,4b,Use of hand-held mobile phone while driving,Careless driving,2564,692,3256
2007,England,South East,Kent,7,Driving licence related offences,"Licence, insurance and record keeping offences",109,0,109
2007,England,South East,Kent,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",303,,303
2007,England,South East,Kent,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1905,1905
2007,England,South East,Kent,13,Vehicle test offences,Vehicle test and condition offences,,253,253
2007,England,South East,Kent,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,215,41,256
2007,England,South East,Kent,16,Speed limit offences,Speed limit offences,51438,,51438
2007,England,South East,Kent,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,122,35,157
2007,England,South East,Kent,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,472,936,1408
2007,England,South East,Kent,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,146,78,224
2007,England,South East,Kent,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",5,808,813
2007,England,South East,Kent,21,Lighting offences,Lighting and noise offences,,429,429
2007,England,South East,Kent,22,Noise offences,Lighting and noise offences,,39,39
2007,England,South East,Kent,23,Load offences,Other offences,0,117,117
2007,England,South East,Kent,24,Offences peculiar to motor cycles,Other offences,0,22,22
2007,England,South East,Kent,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,83,83
2007,England,South East,Kent,25b,Seat belt offences,Miscellaneous motoring offences,,3312,3312
2007,England,North West,Lancashire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,27,54,81
2007,England,North West,Lancashire,4b,Use of hand-held mobile phone while driving,Careless driving,2295,591,2886
2007,England,North West,Lancashire,7,Driving licence related offences,"Licence, insurance and record keeping offences",132,0,132
2007,England,North West,Lancashire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",739,,739
2007,England,North West,Lancashire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1565,1565
2007,England,North West,Lancashire,13,Vehicle test offences,Vehicle test and condition offences,,708,708
2007,England,North West,Lancashire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,176,94,270
2007,England,North West,Lancashire,16,Speed limit offences,Speed limit offences,55167,,55167
2007,England,North West,Lancashire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,113,48,161
2007,England,North West,Lancashire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,638,747,1385
2007,England,North West,Lancashire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,166,25,191
2007,England,North West,Lancashire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",5,1619,1624
2007,England,North West,Lancashire,21,Lighting offences,Lighting and noise offences,,536,536
2007,England,North West,Lancashire,22,Noise offences,Lighting and noise offences,,29,29
2007,England,North West,Lancashire,23,Load offences,Other offences,75,24,99
2007,England,North West,Lancashire,24,Offences peculiar to motor cycles,Other offences,1,53,54
2007,England,North West,Lancashire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,7,7
2007,England,North West,Lancashire,25b,Seat belt offences,Miscellaneous motoring offences,,4442,4442
2007,England,East Midlands,Leicestershire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,12,34,46
2007,England,East Midlands,Leicestershire,4b,Use of hand-held mobile phone while driving,Careless driving,920,153,1073
2007,England,East Midlands,Leicestershire,7,Driving licence related offences,"Licence, insurance and record keeping offences",173,0,173
2007,England,East Midlands,Leicestershire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",336,,336
2007,England,East Midlands,Leicestershire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1251,1251
2007,England,East Midlands,Leicestershire,13,Vehicle test offences,Vehicle test and condition offences,,413,413
2007,England,East Midlands,Leicestershire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,144,553,697
2007,England,East Midlands,Leicestershire,16,Speed limit offences,Speed limit offences,20634,,20634
2007,England,East Midlands,Leicestershire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,61,44,105
2007,England,East Midlands,Leicestershire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,6855,906,7761
2007,England,East Midlands,Leicestershire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,53,20,73
2007,England,East Midlands,Leicestershire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",2,4055,4057
2007,England,East Midlands,Leicestershire,21,Lighting offences,Lighting and noise offences,,178,178
2007,England,East Midlands,Leicestershire,22,Noise offences,Lighting and noise offences,,12,12
2007,England,East Midlands,Leicestershire,23,Load offences,Other offences,0,47,47
2007,England,East Midlands,Leicestershire,24,Offences peculiar to motor cycles,Other offences,3,17,20
2007,England,East Midlands,Leicestershire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,1,1
2007,England,East Midlands,Leicestershire,25b,Seat belt offences,Miscellaneous motoring offences,,1212,1212
2007,England,East Midlands,Lincolnshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,23,140,163
2007,England,East Midlands,Lincolnshire,4b,Use of hand-held mobile phone while driving,Careless driving,1587,456,2043
2007,England,East Midlands,Lincolnshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",69,0,69
2007,England,East Midlands,Lincolnshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",28,,28
2007,England,East Midlands,Lincolnshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1029,1029
2007,England,East Midlands,Lincolnshire,13,Vehicle test offences,Vehicle test and condition offences,,90,90
2007,England,East Midlands,Lincolnshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,35,53,88
2007,England,East Midlands,Lincolnshire,16,Speed limit offences,Speed limit offences,24849,,24849
2007,England,East Midlands,Lincolnshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,0,0,0
2007,England,East Midlands,Lincolnshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,373,740,1113
2007,England,East Midlands,Lincolnshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,64,25,89
2007,England,East Midlands,Lincolnshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",1,11647,11648
2007,England,East Midlands,Lincolnshire,21,Lighting offences,Lighting and noise offences,,319,319
2007,England,East Midlands,Lincolnshire,22,Noise offences,Lighting and noise offences,,34,34
2007,England,East Midlands,Lincolnshire,23,Load offences,Other offences,20,12,32
2007,England,East Midlands,Lincolnshire,24,Offences peculiar to motor cycles,Other offences,0,30,30
2007,England,East Midlands,Lincolnshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,9,9
2007,England,East Midlands,Lincolnshire,25b,Seat belt offences,Miscellaneous motoring offences,,5146,5146
